"home_team","away_team","totals_quantile_low","totals_quantile_high","home_score_mean","away_score_mean","Home.Line.Open","Total.Score.Open","Home.Score","Away.Score","totals","over_under","totals_result","totals_win_lose","home_pt_diff","score_diff","side_bet","sides_result"
"Gold Coast","Hawthorn","137.408349062458","144.343223070522","68.9529615074967","72.6922439558413",-8.5,162.5,121,54,175,"under",12.5,"lose",-3.73928244834461,67,"away","loss"
"St Kilda","North Melbourne","129.988503479073","136.021769899565","75.8733747257228","57.9923647184536",-46.5,168.5,103,50,153,"under",-15.5,"win",17.8810100072692,53,"away","loss"
"Collingwood","Carlton","145.971839905857","153.320463429719","76.5111194365832","74.1383434368308",17.5,172.5,79,75,154,"under",-18.5,"win",2.37277599975241,4,"home","win"
"Port Adelaide","Essendon","148.836151468047","155.424021992307","83.4263069042344","69.0940822044941",-32.5,149.5,66,50,116,"no bet",-33.5,NA,14.3322246997403,16,"away","win"
"Western Bulldogs","Geelong","165.145678200735","172.904135484029","83.7009491732899","85.8196928572194",2.5,168.5,70,83,153,"no bet",-15.5,NA,-2.11874368392949,-13,"home","loss"
"Adelaide","West Coast","135.163185244119","142.064667580293","65.6623341163903","73.9710028733865",-27.5,148.5,88,57,145,"under",-3.5,"win",-8.3086687569962,31,"away","loss"
"Gold Coast","North Melbourne","131.482166794982","138.365883442602","61.2335890957437","74.0920669383859",-30.5,163.5,109,47,156,"under",-7.5,"win",-12.8584778426422,62,"away","loss"
"Melbourne","Sydney","162.571821709324","170.705762177441","73.6637732366219","93.3560181864385",-22.5,152.5,61,73,134,"over",-18.5,NA,-19.6922449498166,-12,"away","win"
"Hawthorn","Collingwood","135.242808958988","142.274455305484","64.2331041050433","75.3139422718907",5.5,170.5,68,72,140,"under",-30.5,"win",-11.0808381668474,-4,"away","loss"
"Fremantle","Brisbane","157.467667791021","164.781951106621","80.8851899752743","80.7568308990459",-2.5,162.5,99,85,184,"no bet",21.5,NA,0.128359076228406,14,"away","loss"
"Richmond","Port Adelaide","141.219717686249","148.300761475741","67.2408852706065","78.2472783063596",-18.5,160.5,77,65,142,"under",-18.5,"win",-11.0063930357531,12,"away","win"
"Essendon","Carlton","142.025756870079","148.984080963569","70.3819727199515","75.8801002049407",30.5,166.5,54,80,134,"under",-32.5,"win",-5.4981274849892,-26,"home","win"
"Fremantle","Hawthorn","145.675656021941","153.065679933318","67.2002994486148","82.6765572851359",-31.5,155.5,95,82,177,"under",21.5,"lose",-15.4762578365211,13,"away","win"
"Brisbane","St Kilda","153.573820673971","160.699727702104","79.8019344034978","77.7921305685256",-16.5,174.5,78,57,135,"under",-39.5,"win",2.0098038349722,21,"away","loss"
"North Melbourne","GWS Giants","130.379148852041","137.084449574558","59.8819476411784","74.4661451023158",35.5,169.5,53,102,155,"under",-14.5,"win",-14.5841974611374,-49,"home","loss"
"Collingwood","Melbourne","147.726355902278","154.5684206014","81.982297418936","69.5560887659031",27.5,160.5,82,56,138,"under",-22.5,"win",12.4262086530329,26,"home","win"
"Richmond","Carlton","158.110219046477","165.630500802548","79.6544296333237","82.8485763761329",-1.5,158.5,81,66,147,"no bet",-11.5,NA,-3.1941467428092,15,"away","loss"
"St Kilda","Essendon","134.323964694403","140.54016506628","72.7948835022021","65.1487178467528",-23.5,166.5,72,107,179,"under",12.5,"lose",7.64616565544929,-35,"away","win"
"Port Adelaide","Sydney","140.462719426647","147.177112638207","68.4666536875492","75.7450415577694",1.5,161.5,82,59,141,"under",-20.5,"win",-7.2783878702202,23,"away","loss"
"West Coast","Geelong","123.76090644896","130.678842663026","53.7291422687237","74.7392051746673",46.5,151.5,63,81,144,"under",-7.5,"win",-21.0100629059436,-18,"home","win"
"GWS Giants","Western Bulldogs","152.440761223551","159.158681816013","84.4200371789825","71.9282348384311",1.5,166.5,105,125,230,"under",63.5,"lose",12.4918023405514,-20,"home","loss"
"Gold Coast","Adelaide","137.789708735146","144.377059793663","72.354762144746","69.4827863953583",-29.5,167.5,116,73,189,"under",21.5,"lose",2.8719757493877,43,"away","loss"
"Melbourne","Brisbane","159.195945711693","166.234761717052","86.3459808845131","76.7863323946357",-6.5,162.5,117,53,170,"no bet",7.5,NA,9.55964848987739,64,"home","win"
"Western Bulldogs","Hawthorn","155.15618137772","161.793681631435","88.0900152946025","70.7505703593837",-10.5,174.5,125,83,208,"under",33.5,"lose",17.3394449352188,42,"home","win"
