Team,M,Rating,Super Coach,Fantasy Points,Coaches Votes,Kick,HB,Dis.,Dis. Eff %,Kick Eff %,HB Eff %,D / O Tk,In 50s,Reb 50s,R50 Rate,Mtrs Gnd,Mtrs / D,Clng,D/Cg,TO,D/TO,CP,UP,Poss,CP%,Int Poss,GB Gets,Ctr Clr,Stp Clr,Tot,Tot,CM,In 50,M50 Rate,Int Mks,On Lead,Gls,Beh,RB,Shots,Goal Ass.,Acc,G / In 50,SS / In 50,S / In 50,SI,Launch,Tack,Tack In 50,Press. Acts,Spoils,Hit Outs,Win %,To Adv,Adv %,Kick Ins,KI Play On %,Bounce,1%s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,22,204.9,1701.1,1580.7,17.8,223.7,154.7,378.4,73.3,66.8,82.8,6.7,50.3,39,75.8,5723.4,15.1,56.7,6.7,71.4,5.3,137.3,237.1,374.4,36.7,69.9,91.8,12.1,24.5,36.5,101.5,10,12.2,24.2,15.6,5.9,11.7,10.5,2,24.5,8.2,47.9,23.3,44.3,48.7,91.8,22.2,53.1,8.2,283.5,31.2,34.7,43.8,11.6,33.4,10,87.8,4.8,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlton,22,210.2,1705.8,1576,18,225.3,140.1,365.4,74,68.3,83.1,6.8,54.1,38.4,76.4,5987,16.4,60.3,6.1,68.6,5.3,138.4,220.8,359.2,38.5,67,89.7,13.8,24,37.8,97.2,11.3,12.9,23.8,14.5,11.2,13.1,11.1,2.8,26,9.7,50.4,24.2,44.7,47.9,98.2,23.9,61.6,10.3,274.7,31.7,36.5,42.5,12.9,35.3,11.1,86.1,5.7,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Coast,22,205.6,1693.6,1578.5,15.9,224,155.3,379.3,75.7,68.6,85.9,7.8,49.2,37,74.6,5670.7,15,53.6,7.1,66.7,5.7,132.7,245.7,378.5,35.1,65.7,91,10.9,24,34.9,101.8,11.5,11.7,23.8,14.4,7.6,12.5,10.7,1.7,25.8,9,48.2,25.3,47.1,52.4,94.3,22.8,54.2,9,258.3,33.8,26.5,31.6,9.2,34.6,9.4,79.7,5.4,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collingwood,22,210.6,1676.5,1590.3,18.6,226.1,154.1,380.3,75.8,69.6,84.8,7,52.7,35.7,76.7,5332.8,14,53.1,7.2,69,5.5,131.3,243.7,375,35,69.7,87.4,12.1,21.6,33.7,106.2,13,12.1,22.9,17.6,7.3,12.2,9.3,1.7,23.9,9.1,51.1,23.2,40.8,45.3,86.2,21.3,53.6,10.9,286.5,31.1,24.4,31,8,32.6,9.2,87.6,4,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Kilda,22,201.4,1665.5,1557.1,15.5,217.9,155.8,373.7,74.2,67.6,83.3,6,50.7,38.9,76.4,5074.6,13.6,54.6,6.8,67.6,5.5,134.1,233.2,367.3,36.5,68.2,91.9,12.4,23.6,36,95,9.7,11.7,23.1,15.6,8.2,11.8,10.7,2,24.3,8.4,48.7,23.3,44.4,47.8,90.5,22.4,57.3,9.9,295.5,31.9,32.9,38,10,30.4,10,81,4.8,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide,22,210,1736,1592.1,18.1,223.1,142.9,366,72.8,67.1,81.6,6.5,55.3,38.6,77.5,5497.9,15,55.7,6.6,69,5.3,140.5,218.2,358.8,39.2,72.6,95.1,11.2,24.4,35.6,96.3,12.8,12.7,22.9,17.6,10.3,13,11.3,2.1,27,9.1,48.3,23.6,44.1,48.8,90.3,24,66.8,11.9,296.6,33.4,36.5,42.2,9.6,26.3,10.4,86,7,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fremantle,22,202.9,1716.9,1596.3,17,225.9,150.9,376.7,74.4,67.7,84.6,7.7,50.9,40.5,79.3,5776.1,15.3,55.5,6.8,65.2,5.8,130.2,239.4,369.6,35.2,66.6,86.7,11.7,20.8,32.5,104.7,12.4,13.4,26.3,16.5,8.5,12,10.7,1.4,25.6,8.4,47.1,23.7,44.7,50.3,94.9,22.4,56.7,11.7,282.2,34.3,29.7,36.7,9.1,30.7,11.8,80,4.9,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Coast,22,209,1705,1615.3,19.4,229.8,154.1,384,73.6,67.3,83,6.2,56.2,38.9,79.9,5707.3,14.9,57.9,6.6,69.3,5.5,141.6,237.2,378.9,37.4,70.6,89.3,11.4,27,38.3,99.9,12.5,12.4,22,17.6,9.6,12.2,11.6,2.3,26.2,8.7,46.4,21.7,42.3,46.7,92.4,23.4,56.5,10.2,268.1,31.5,45.5,51.4,14.9,32.7,10,88.6,6.6,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Melbourne,22,210.4,1743.2,1591.3,20.6,224.9,155.6,380.5,74.6,67.7,84.6,7.2,54.8,37,78.1,5476.6,14.4,54,7,64.5,5.9,134,243.4,377.4,35.5,69.7,91.7,11.6,22.5,34.1,101.7,11.1,14.3,26,16.7,10.8,13.6,12.8,2.1,29.2,9,46.6,24.8,48.1,53.2,107.5,26.3,54.8,10.3,278.7,28.1,28.8,35.5,9.1,31.8,9,81.2,7.4,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
