home_team,away_team,totals_quantile,sides_quantile,Date,Kick.Off,Venue,Home.Score,Away.Score,Home.Goals,Home.Behinds,Away.Goals,Away.Behinds,Home.Odds,Away.Odds,Bookmakers.Surveyed,Home.Odds.Open,Home.Odds.Min,Home.Odds.Max,Home.Odds.Close,Away.Odds.Open,Away.Odds.Min,Away.Odds.Max,Away.Odds.Close,Home.Line.Open,Home.Line.Min,Home.Line.Max,Home.Line.Close,Away.Line.Open,Away.Line.Min,Away.Line.Max,Away.Line.Close,Home.Line.Odds.Open,Home.Line.Odds.Min,Home.Line.Odds.Max,Home.Line.Odds.Close,Away.Line.Odds.Open,Away.Line.Odds.Min,Away.Line.Odds.Max,Away.Line.Odds.Close,Total.Score.Open,Total.Score.Min,Total.Score.Max,Total.Score.Close,Total.Score.Over.Open,Total.Score.Over.Min,Total.Score.Over.Max,Total.Score.Over.Close,Total.Score.Under.Open,Total.Score.Under.Min,Total.Score.Under.Max,Total.Score.Under.Close,Notes,totals,bet_total_open,bet_total_high,bet_total_low,bet_total_close,season,bet,cash,,,,
Melbourne,Essendon,159.9418012,-31.53933895,25/03/2022,19:20,MCG,99,70,14,15,10,10,1.22,4.06,14,1.3,1.19,1.3,1.24,3.6,3.6,5,4.25,-21.5,-28.5,-21.5,-25.5,21.5,21.5,28.5,25.5,1.91,1.87,1.91,1.91,1.91,1.91,1.95,1.91,168.5,164.5,168.5,164.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,,169,-8.558198802,-8.558198802,-4.558198802,-4.558198802,2022,none,,,,,
Melbourne,Essendon,168.1114989,-23.33369564,25/03/2022,19:20,MCG,99,70,14,15,10,10,1.22,4.06,14,1.3,1.19,1.3,1.24,3.6,3.6,5,4.25,-21.5,-28.5,-21.5,-25.5,21.5,21.5,28.5,25.5,1.91,1.87,1.91,1.91,1.91,1.91,1.95,1.91,168.5,164.5,168.5,164.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,,169,-0.388501095,-0.388501095,3.611498905,3.611498905,2022,dog,no,-2,,,
Adelaide Crows,Port Adelaide,150.8883671,-31.57755633,26/03/2022,19:50,Adelaide Oval,96,92,15,6,13,14,2.92,1.39,14,2.8,2.8,3.6,3.1,1.44,1.3,1.44,1.4,14.5,14.5,21.5,16.5,-14.5,-21.5,-14.5,-16.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,160.5,156.5,160.5,159.5,1.89,1.91,1.91,1.91,1.89,1.91,1.91,1.91,,188,-9.611632853,-9.611632853,-5.611632853,-8.611632853,2022,under,no,0,,,
Adelaide Crows,Port Adelaide,158.6267009,-23.73593728,26/03/2022,19:50,Adelaide Oval,96,92,15,6,13,14,2.92,1.39,14,2.8,2.8,3.6,3.1,1.44,1.3,1.44,1.4,14.5,14.5,21.5,16.5,-14.5,-21.5,-14.5,-16.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,160.5,156.5,160.5,159.5,1.89,1.91,1.91,1.91,1.89,1.91,1.91,1.91,,188,-1.873299114,-1.873299114,2.126700886,-0.873299114,2022,fave,no,-3,,,
GWS Giants,Gold Coast,140.6467764,-29.40802883,26/03/2022,16:35,Giants Stadium,83,57,12,11,8,9,1.39,2.83,14,1.42,1.36,1.65,1.6,2.9,2.3,3.2,2.4,-15.5,-18.5,-7.5,-8.5,15.5,7.5,18.5,8.5,1.91,1.91,1.87,1.87,1.91,1.95,1.91,1.95,149.5,149.5,163.5,162.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,140,-8.853223561,-22.85322356,-8.853223561,-21.85322356,2022,under,yes,1,,,
GWS Giants,Gold Coast,147.8478733,-22.21417349,26/03/2022,16:35,Giants Stadium,83,57,12,11,8,9,1.39,2.83,14,1.42,1.36,1.65,1.6,2.9,2.3,3.2,2.4,-15.5,-18.5,-7.5,-8.5,15.5,7.5,18.5,8.5,1.91,1.91,1.87,1.87,1.91,1.95,1.91,1.95,149.5,149.5,163.5,162.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,140,-1.652126735,-15.65212674,-1.652126735,-14.65212674,2022,dog,no,-4,,,
Collingwood,Geelong,126.5822594,-31.75599615,26/03/2022,19:25,MCG,91,104,13,13,16,8,2.47,1.51,14,2.55,2.5,3,2.55,1.52,1.4,1.54,1.54,11.5,10.5,16.5,11.5,-11.5,-16.5,-10.5,-11.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,166.5,163.5,166.5,163.5,1.95,1.91,1.95,1.95,1.85,1.87,1.91,1.87,,195,-39.91774063,-39.91774063,-36.91774063,-36.91774063,2022,under,no,0,,,
Collingwood,Geelong,133.2316719,-25.10085913,26/03/2022,19:25,MCG,91,104,13,13,16,8,2.47,1.51,14,2.55,2.5,3,2.55,1.52,1.4,1.54,1.54,11.5,10.5,16.5,11.5,-11.5,-16.5,-10.5,-11.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,166.5,163.5,166.5,163.5,1.95,1.91,1.95,1.95,1.85,1.87,1.91,1.87,,195,-33.26832806,-33.26832806,-30.26832806,-30.26832806,2022,fave,yes,-3,,,
Brisbane Lions,North Melbourne,164.2228521,59.28368787,26/03/2022,19:00,Gabba,156,48,23,18,7,6,1.05,8.86,14,1.17,1.06,1.17,1.06,5.25,5.25,10.5,10.5,-30.5,-46.5,-30.5,-46.5,30.5,30.5,46.5,46.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,167.5,167.5,1.89,1.85,1.91,1.91,1.89,1.89,1.91,1.91,,204,0.722852137,-3.277147863,0.722852137,-3.277147863,2022,over ,yes,1,,,
Brisbane Lions,North Melbourne,173.8828349,68.74831397,26/03/2022,19:00,Gabba,156,48,23,18,7,6,1.05,8.86,14,1.17,1.06,1.17,1.06,5.25,5.25,10.5,10.5,-30.5,-46.5,-30.5,-46.5,30.5,30.5,46.5,46.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,167.5,167.5,1.89,1.85,1.91,1.91,1.89,1.89,1.91,1.91,,204,10.38283492,6.382834919,10.38283492,6.382834919,2022,fave,yes,-2,,,
Carlton,Hawthorn,137.5884448,13.38920236,27/03/2022,13:10,MCG,74,73,11,8,11,7,1.62,2.22,14,1.5,1.36,1.68,1.63,2.6,2.2,3.2,2.35,-12.5,-18.5,-7.5,-8.5,12.5,7.5,18.5,8.5,1.91,1.91,1.95,1.91,1.91,1.87,1.91,1.91,171.5,165.5,171.5,165.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,,147,-33.91155522,-33.91155522,-27.91155522,-27.91155522,2022,under,yes,2,,,
Carlton,Hawthorn,144.9862218,20.65296339,27/03/2022,13:10,MCG,74,73,11,8,11,7,1.62,2.22,14,1.5,1.36,1.68,1.63,2.6,2.2,3.2,2.35,-12.5,-18.5,-7.5,-8.5,12.5,7.5,18.5,8.5,1.91,1.91,1.95,1.91,1.91,1.87,1.91,1.91,171.5,165.5,171.5,165.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,,147,-26.51377817,-26.51377817,-20.51377817,-20.51377817,2022,fave,yes,-1,,,
St Kilda,Richmond,135.3973689,2.264821547,27/03/2022,15:20,Marvel Stadium,117,84,18,9,13,6,1.66,2.16,13,2.25,1.72,2.25,1.72,1.65,1.65,2.18,2.18,7.5,-5.5,7.5,-5.5,-7.5,-7.5,5.5,5.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,165.5,165.5,167.5,167.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,201,-30.10263105,-32.10263105,-30.10263105,-32.10263105,2022,under,no,1,,,
St Kilda,Richmond,142.762512,9.583751968,27/03/2022,15:20,Marvel Stadium,117,84,18,9,13,6,1.66,2.16,13,2.25,1.72,2.25,1.72,1.65,1.65,2.18,2.18,7.5,-5.5,7.5,-5.5,-7.5,-7.5,5.5,5.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,165.5,165.5,167.5,167.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,201,-22.73748802,-24.73748802,-22.73748802,-24.73748802,2022,dog,yes,0,,,
West Coast Eagles,Fremantle,140.8830157,-0.890950333,27/03/2022,15:20,Optus Stadium,47,102,7,5,15,12,1.73,2.05,13,2.1,1.65,2.1,1.75,1.75,1.75,2.25,2.15,4.5,-5.5,4.5,-4.5,-4.5,-4.5,5.5,4.5,1.91,1.82,1.91,1.91,1.91,1.91,2,1.91,148.5,148.5,153.5,153.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,,149,-7.61698426,-12.61698426,-7.61698426,-12.61698426,2022,under,no,0,,,
West Coast Eagles,Fremantle,148.3263366,6.506802824,27/03/2022,15:20,Optus Stadium,47,102,7,5,15,12,1.73,2.05,13,2.1,1.65,2.1,1.75,1.75,1.75,2.25,2.15,4.5,-5.5,4.5,-4.5,-4.5,-4.5,5.5,4.5,1.91,1.82,1.91,1.91,1.91,1.91,2,1.91,148.5,148.5,153.5,153.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,,149,-0.173663367,-5.173663367,-0.173663367,-5.173663367,2022,fave,no,-1,,,
Port Adelaide,Melbourne,151.3249114,15.47214628,7/04/2022,19:10,Adelaide Oval,36,68,4,12,10,8,3.1,1.35,14,2.6,2.4,3.3,3.3,1.5,1.35,1.58,1.36,12.5,9.5,17.5,17.5,-12.5,-17.5,-9.5,-17.5,1.91,1.91,1.97,1.91,1.91,1.85,1.91,1.91,170.5,163.5,170.5,163.5,1.91,1.91,1.91,1.95,1.91,1.87,1.91,1.87,,104,-19.17508863,-19.17508863,-12.17508863,-12.17508863,2022,under,yes,1,,,
Port Adelaide,Melbourne,160.9995368,24.94325048,7/04/2022,19:10,Adelaide Oval,36,68,4,12,10,8,3.1,1.35,14,2.6,2.4,3.3,3.3,1.5,1.35,1.58,1.36,12.5,9.5,17.5,17.5,-12.5,-17.5,-9.5,-17.5,1.91,1.91,1.97,1.91,1.91,1.85,1.91,1.91,170.5,163.5,170.5,163.5,1.91,1.91,1.91,1.95,1.91,1.87,1.91,1.87,,104,-9.50046317,-9.50046317,-2.50046317,-2.50046317,2022,dog,no,-1,,,
Geelong Cats,Brisbane,158.0311732,11.6673307,8/04/2022,19:50,GMHBA Stadium,80,70,11,14,11,4,1.9,1.86,14,1.78,1.75,2.02,2.02,2.05,1.83,2.1,1.83,-2.5,-4.5,2.5,2.5,2.5,-2.5,4.5,-2.5,1.87,1.91,1.91,1.91,1.95,1.91,1.91,1.91,168.5,166.5,168.5,166.5,1.89,1.89,1.89,1.95,1.89,1.87,1.89,1.87,,150,-10.46882679,-10.46882679,-8.468826786,-8.468826786,2022,under,yes,2,,,
Geelong Cats,Brisbane,168.1287608,21.88276173,8/04/2022,19:50,GMHBA Stadium,80,70,11,14,11,4,1.9,1.86,14,1.78,1.75,2.02,2.02,2.05,1.83,2.1,1.83,-2.5,-4.5,2.5,2.5,2.5,-2.5,4.5,-2.5,1.87,1.91,1.91,1.91,1.95,1.91,1.91,1.91,168.5,166.5,168.5,166.5,1.89,1.89,1.89,1.95,1.89,1.87,1.89,1.87,,150,-0.37123917,-0.37123917,1.62876083,1.62876083,2022,fave,yes,0,,,
Sydney,North Melbourne,145.0390978,-43.69935673,9/04/2022,16:35,SCG,86,75,13,8,12,3,1.09,7.09,14,1.09,1.08,1.11,1.1,7.5,6.5,8,8,-40.5,-43.5,-37.5,-40.5,40.5,37.5,43.5,40.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,155.5,151.5,160.5,159.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,161,-10.46090223,-15.46090223,-6.460902232,-14.46090223,2022,under,yes,3,,,
Sydney,North Melbourne,153.2716089,-35.41533261,9/04/2022,16:35,SCG,86,75,13,8,12,3,1.09,7.09,14,1.09,1.08,1.11,1.1,7.5,6.5,8,8,-40.5,-43.5,-37.5,-40.5,40.5,37.5,43.5,40.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,155.5,151.5,160.5,159.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,161,-2.228391122,-7.228391122,1.771608878,-6.228391122,2022,none,,,,,
Collingwood,West Coast Eagles,123.8423955,-6.675283246,9/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,,,,,,
Collingwood,West Coast Eagles,131.4031532,0.746146749,9/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,,,,,,
Richmond,Western Bulldogs,156.4606031,-41.75064446,9/04/2022,19:25,MCG,99,61,15,9,7,19,2.67,1.45,14,2.02,2.02,2.9,2.8,1.8,1.44,1.8,1.47,2.5,2.5,14.5,14.5,-2.5,-14.5,-2.5,-14.5,1.91,1.91,1.95,1.87,1.91,1.87,1.91,1.95,170.5,165.5,170.5,165.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,,160,-14.03939693,-14.03939693,-9.039396935,-9.039396935,2022,under,yes,4,,,
Richmond,Western Bulldogs,165.1203575,-33.1617732,9/04/2022,19:25,MCG,99,61,15,9,7,19,2.67,1.45,14,2.02,2.02,2.9,2.8,1.8,1.44,1.8,1.47,2.5,2.5,14.5,14.5,-2.5,-14.5,-2.5,-14.5,1.91,1.91,1.95,1.87,1.91,1.87,1.91,1.95,170.5,165.5,170.5,165.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,,160,-5.379642524,-5.379642524,-0.379642524,-0.379642524,2022,fave,no,-2,,,
Fremantle,GWS Giants,154.3518054,-13.33985918,9/04/2022,17:25,Optus Stadium,88,54,13,10,8,6,1.64,2.2,14,2.02,1.65,2.1,1.7,1.8,1.75,2.3,2.22,2.5,-7.5,4.5,-6.5,-2.5,-4.5,7.5,6.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,158.5,157.5,158.5,157.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,,142,-4.148194647,-4.148194647,-3.148194647,-3.148194647,2022,none,,,,,
Fremantle,GWS Giants,163.3519866,-4.314575982,9/04/2022,17:25,Optus Stadium,88,54,13,10,8,6,1.64,2.2,14,2.02,1.65,2.1,1.7,1.8,1.75,2.3,2.22,2.5,-7.5,4.5,-6.5,-2.5,-4.5,7.5,6.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,158.5,157.5,158.5,157.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,,142,4.851986563,4.851986563,5.851986563,5.851986563,2022,dog,no,-3,,,
Essendon,Adelaide Crows,158.390939,-20.10024139,10/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,,,,,,
Essendon,Adelaide Crows,167.4570754,-10.87130414,10/04/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,,,,,,
Hawthorn,St Kilda,122.7371063,-18.52818161,10/04/2022,15:20,MCG,73,142,10,13,22,10,1.99,1.77,13,2.1,1.97,2.1,2.05,1.75,1.75,1.85,1.8,4.5,2.5,4.5,2.5,-4.5,-4.5,-2.5,-2.5,1.91,1.87,1.91,1.95,1.91,1.91,1.95,1.87,166.5,164.5,166.5,164.5,1.89,1.89,1.95,1.91,1.89,1.89,1.89,1.91,,215,-43.76289374,-43.76289374,-41.76289374,-41.76289374,2022,under,no,3,,,
Hawthorn,St Kilda,130.0098784,-11.23892066,10/04/2022,15:20,MCG,73,142,10,13,22,10,1.99,1.77,13,2.1,1.97,2.1,2.05,1.75,1.75,1.85,1.8,4.5,2.5,4.5,2.5,-4.5,-4.5,-2.5,-2.5,1.91,1.87,1.91,1.95,1.91,1.91,1.95,1.87,166.5,164.5,166.5,164.5,1.89,1.89,1.95,1.91,1.89,1.89,1.89,1.91,,215,-36.49012163,-36.49012163,-34.49012163,-34.49012163,2022,fave,yes,-2,,,
Gold Coast,Carlton,135.7548629,17.50234959,10/04/2022,16:10,Metricon Stadium,92,62,13,14,8,14,2.32,1.58,14,2.05,2.05,2.9,2.35,1.78,1.42,1.78,1.63,3.5,3.5,15.5,8.5,-3.5,-15.5,-3.5,-8.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,159.5,159.5,160.5,160.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,154,-23.74513714,-24.74513714,-23.74513714,-24.74513714,2022,under,yes,4,,,
Gold Coast,Carlton,144.47377,26.07141902,10/04/2022,16:10,Metricon Stadium,92,62,13,14,8,14,2.32,1.58,14,2.05,2.05,2.9,2.35,1.78,1.42,1.78,1.63,3.5,3.5,15.5,8.5,-3.5,-15.5,-3.5,-8.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,159.5,159.5,160.5,160.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,154,-15.02622999,-16.02622999,-15.02622999,-16.02622999,2022,dog,yes,-1,,,
