home_team,away_team,totals_quantile,sides_quantile,Kick.Off,Venue,Home.Score,Away.Score,Home.Goals,Home.Behinds,Away.Goals,Away.Behinds,Home.Odds,Away.Odds,Bookmakers.Surveyed,Home.Odds.Open,Home.Odds.Min,Home.Odds.Max,Home.Odds.Close,Away.Odds.Open,Away.Odds.Min,Away.Odds.Max,Away.Odds.Close,Home.Line.Open,Home.Line.Min,Home.Line.Max,Home.Line.Close,Away.Line.Open,Away.Line.Min,Away.Line.Max,Away.Line.Close,Home.Line.Odds.Open,Home.Line.Odds.Min,Home.Line.Odds.Max,Home.Line.Odds.Close,Away.Line.Odds.Open,Away.Line.Odds.Min,Away.Line.Odds.Max,Away.Line.Odds.Close,Total.Score.Open,Total.Score.Min,Total.Score.Max,Total.Score.Close,Total.Score.Over.Open,Total.Score.Over.Min,Total.Score.Over.Max,Total.Score.Over.Close,Total.Score.Under.Open,Total.Score.Under.Min,Total.Score.Under.Max,Total.Score.Under.Close,Notes,totals,,
Hawthorn,North Melbourne,126.3667851,-1.614882825,13:10,MCG,78,58,11,12,8,10,1.78,1.99,14,1.68,1.65,1.91,1.83,2.2,1.91,2.25,2.02,-6.5,-7.5,-1.5,-2.5,6.5,1.5,7.5,2.5,1.91,1.91,2,1.91,1.91,1.82,1.91,1.91,157.5,157.5,164.5,164.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,136,under,
Hawthorn,North Melbourne,132.0832262,4.045717977,13:10,MCG,78,58,11,12,8,10,1.78,1.99,14,1.68,1.65,1.91,1.83,2.2,1.91,2.25,2.02,-6.5,-7.5,-1.5,-2.5,6.5,1.5,7.5,2.5,1.91,1.91,2,1.91,1.91,1.82,1.91,1.91,157.5,157.5,164.5,164.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,136,3,3
Adelaide,Fremantle,142.6573783,-2.23692301,15:40,Adelaide Oval,82,83,12,10,11,17,1.71,2.08,14,2.05,1.7,2.15,1.72,1.78,1.72,2.18,2.18,3.5,-5.5,5.5,-5.5,-3.5,-5.5,5.5,5.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,158.5,157.5,163.5,162.5,1.89,1.89,1.95,1.91,1.89,1.89,1.91,1.91,,165,under,
Adelaide,Fremantle,149.1455378,4.376815115,15:40,Adelaide Oval,82,83,12,10,11,17,1.71,2.08,14,2.05,1.7,2.15,1.72,1.78,1.72,2.18,2.18,3.5,-5.5,5.5,-5.5,-3.5,-5.5,5.5,5.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,158.5,157.5,163.5,162.5,1.89,1.89,1.95,1.91,1.89,1.89,1.91,1.91,,165,3,4
West Coast,Gold Coast,132.1173314,-8.864543484,16:40,Optus Stadium,80,107,12,8,16,11,2.17,1.66,14,1.27,1.27,2.35,2.3,3.85,1.6,3.85,1.65,-23.5,-23.5,8.5,7.5,23.5,-8.5,23.5,-7.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,156.5,156.5,162.5,161.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,187,under,
West Coast,Gold Coast,138.2557669,-2.805352725,16:40,Optus Stadium,80,107,12,8,16,11,2.17,1.66,14,1.27,1.27,2.35,2.3,3.85,1.6,3.85,1.65,-23.5,-23.5,8.5,7.5,23.5,-8.5,23.5,-7.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,156.5,156.5,162.5,161.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,187,3,5
Western Bulldogs,Carlton,158.646434,-10.30241528,19:20,Marvel Stadium,90,102,13,12,16,6,1.53,2.43,13,1.44,1.42,1.65,1.58,2.8,2.25,2.9,2.45,-14.5,-15.5,-7.5,-9.5,14.5,7.5,15.5,9.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,170.5,169.5,173.5,169.5,1.91,1.95,1.89,1.95,1.91,1.85,1.89,1.85,,192,under,
Western Bulldogs,Carlton,166.2826951,-2.657382867,19:20,Marvel Stadium,90,102,13,12,16,6,1.53,2.43,13,1.44,1.42,1.65,1.58,2.8,2.25,2.9,2.45,-14.5,-15.5,-7.5,-9.5,14.5,7.5,15.5,9.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,170.5,169.5,173.5,169.5,1.91,1.95,1.89,1.95,1.91,1.85,1.89,1.85,,192,3,6
Sydney,Geelong,161.0675253,-2.656271105,19:50,SCG,107,77,17,5,10,17,1.8,1.96,13,1.68,1.68,1.83,1.83,2.2,2.02,2.2,2.02,-6.5,-6.5,-2.5,-2.5,6.5,2.5,6.5,2.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,142.5,142.5,156.5,156.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,184,over,
Sydney,Geelong,168.8045697,5.023337344,19:50,SCG,107,77,17,5,10,17,1.8,1.96,13,1.68,1.68,1.83,1.83,2.2,2.02,2.2,2.02,-6.5,-6.5,-2.5,-2.5,6.5,2.5,6.5,2.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,142.5,142.5,156.5,156.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,,184,4,6
Collingwood,Adelaide,139.8862667,-0.312829842,13:45,MCG,100,58,15,10,8,10,1.33,3.21,13,1.62,1.31,1.62,1.33,2.3,2.3,3.5,3.5,-8.5,-20.5,-8.5,-19.5,8.5,8.5,20.5,19.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,170.5,168.5,1.89,1.89,1.91,1.95,1.89,1.89,1.91,1.87,,158,under,
