"match_id","points_per_kick","home_ground","temp","humidity","dew","precip","precipprob","windspeed","winddir","conditions"
15660,2.95348837209302,"Docklands Stadium",60.8,61.96,47.7,0,0,349,349,"Partially cloudy"
15661,3.16216216216216,"Melbourne Cricket Ground",60.3,57.7,45.3,0,0,350,350,"Partially cloudy"
15662,2.87179487179487,"The Gabba",60.6,90.21,57.7,0,0,185,185,"Partially cloudy"
15663,3.21276595744681,"Kardinia Park",54.3,70.71,45,0,0,354,354,"Partially cloudy"
15664,3,"Carrara Stadium",70.6,62.14,57,0.001,0.001,54,54,"Rain"
15700,2.89189189189189,"Perth Stadium",74.8,54.75,57.5,0,0,170,170,"Clear"
15701,3.05882352941176,"Sydney Cricket Ground",56.6,57.12,41.6,0,0,247,247,"Partially cloudy"
15702,3.70588235294118,"Sydney Showground Stadium",56.2,72.4,47.5,0,0,192,192,"Partially cloudy"
15703,3.175,"Adelaide Oval",58.8,46.94,38.6,0,0,337,337,"Clear"
15704,3.80952380952381,"Docklands Stadium",53.5,65.7,42.3,0,0,226,226,"Partially cloudy"
15705,3.26666666666667,"Docklands Stadium",46.1,93.08,44.2,0,0,121.8,121.8,"Partially cloudy"
15706,3.93103448275862,"Carrara Stadium",63.6,64.66,51.4,0,0,150,150,"Partially cloudy"
15707,2.71739130434783,"The Gabba",63.5,75.99,55.8,0,0,207,207,"Partially cloudy"
15708,2.96666666666667,"Melbourne Cricket Ground",53.9,65.18,42.5,0,0,238,238,"Clear"
15709,3.14285714285714,"Melbourne Cricket Ground",45.2,89.21,42.2,0,0,5,5,"Clear"
15719,3,"Docklands Stadium",52,62.67,39.6,0,0,349,349,"Partially cloudy"
15720,3.79310344827586,"Melbourne Cricket Ground",45.7,82.1,40.6,0,0,268,268,"Partially cloudy"
15721,3.07692307692308,"Perth Stadium",91.4,26.08,51.8,0,0,50,50,"Clear"
15722,3.39024390243902,"Kardinia Park",54.5,82.19,49.1,0,0,225,225,"Partially cloudy"
15723,3.30555555555556,"Docklands Stadium",52.6,99.5,52.5,0,0,264,264,"Partially cloudy"
15724,2.76086956521739,"The Gabba",60.1,31.12,29.5,0,0,251,251,"Clear"
15725,3,"Adelaide Oval",55.5,77.92,48.7,0,0,230,230,"Partially cloudy"
15740,3.45945945945946,"Melbourne Cricket Ground",54.3,80.8,48.5,0.003,0.003,209,209,"Rain, Overcast"
15741,3.62857142857143,"Sydney Showground Stadium",56.7,57.81,42,0,0,145,145,"Clear"
15742,2.97368421052632,"Kardinia Park",53.4,76.41,46.2,0,0,4,4,"Partially cloudy"
15743,2.33333333333333,"Melbourne Cricket Ground",54.7,79,48.3,0,0,1,1,"Partially cloudy"
15744,3.48837209302326,"Perth Stadium",84.7,17.07,35.2,0,0,117,117,"Clear"
15745,3.48275862068966,"Perth Stadium",86.2,20.68,41.3,0,0,136,136,"Clear"
15746,3.58974358974359,"Melbourne Cricket Ground",49.7,99.89,49.7,0,0,8,8,"Overcast"
15747,2.48936170212766,"Docklands Stadium",49.2,99.81,49.2,0,0,3,3,"Overcast"
15748,2.94444444444444,"Adelaide Oval",56.1,67.27,45.4,0,0,153,153,"Clear"
15749,2,"Melbourne Cricket Ground",55,87.26,51.3,0,0,201,201,"Overcast"
15750,3.92105263157895,"Docklands Stadium",51.8,98.4,51.4,0,0,178,178,"Partially cloudy"
15751,3,"Kardinia Park",51.1,88.93,47.9,0,0,179,179,"Overcast"
15752,2.97872340425532,"Docklands Stadium",43.3,99.56,43.2,0,0,359,359,"Clear"
